iter	Passed	Remaining
405	8867	4237
406	8889	4215
407	8913	4194
408	8937	4173
409	8959	4151
410	8981	4130
411	9003	4108
412	9026	4086
413	9045	4063
414	9068	4042
415	9092	4021
416	9110	3998
417	9134	3977
418	9159	3956
419	9182	3935
420	9200	3911
421	9224	3890
422	9245	3868
423	9268	3847
424	9291	3825
425	9308	3801
426	9327	3779
427	9350	3757
428	9370	3735
429	9396	3714
430	9419	3693
431	9443	3672
432	9462	3649
433	9487	3628
434	9514	3609
435	9537	3587
436	9557	3565
437	9579	3543
438	9604	3522
439	9623	3499
440	9650	3479
441	9676	3459
442	9700	3437
443	9726	3417
444	9746	3394
445	9767	3372
446	9787	3350
447	9814	3329
448	9839	3309
449	9863	3287
450	9885	3265
451	9902	3242
452	9926	3221
453	9947	3198
454	9968	3176
455	9993	3155
456	10020	3135
457	10036	3111
458	10061	3090
459	10088	3070
460	10111	3048
461	10140	3028
462	10166	3008
463	10192	2987
464	10223	2968
465	10242	2945
466	10267	2924
467	10289	2902
468	10313	2880
469	10332	2858
470	10359	2837
471	10382	2815
472	10407	2794
473	10435	2774
474	10461	2753
475	10485	2731
476	10509	2709
477	10532	2688
478	10557	2667
479	10587	2646
480	10609	2624
481	10635	2603
482	10666	2583
483	10688	2561
484	10712	2540
485	10741	2519
486	10765	2497
487	10790	2476
488	10812	2454
489	10833	2432
490	10861	2411
491	10879	2388
492	10903	2366
493	10921	2343
494	10941	2320
495	10969	2300
496	10990	2277
497	11014	2255
498	11041	2234
499	11065	2213
500	11089	2191
501	11109	2168
502	11131	2146
503	11159	2125
504	11184	2103
505	11206	2081
506	11231	2060
507	11251	2037
508	11276	2015
509	11302	1994
510	11325	1972
511	11345	1950
512	11369	1928
513	11397	1906
514	11418	1884
515	11444	1863
516	11470	1841
517	11491	1819
518	11520	1797
519	11548	1776
520	11573	1754
521	11596	1732
522	11620	1710
523	11648	1689
524	11670	1667
525	11699	1645
526	11724	1624
527	11750	1602
528	11774	1580
529	11802	1558
530	11827	1536
531	11850	1514
532	11873	1492
533	11901	1471
534	11928	1449
535	11950	1426
536	11978	1405
537	12002	1383
538	12022	1360
539	12050	1338
540	12072	1316
541	12095	1294
542	12118	1272
543	12145	1250
544	12170	1228
545	12194	1206
546	12221	1184
547	12247	1162
548	12276	1140
549	12302	1118
550	12327	1096
551	12353	1074
